,ISO 3166-1 numeric code,Location,pop1950,pop1955,pop1960,pop1965,pop1970,1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015
245,840,United States of America,158 804.395,171 783.842,186 808.228,199 815.540,209 588.150,219 205.296,229 763.052,240 824.120,252 529.950,265 658.849,281 982.778,295 129.501,308 641.391,319 929.162
246,909,Oceania,12 647.776,14 176.713,15 825.224,17 571.233,19 718.034,21 506.855,23 005.068,24 929.397,27 071.461,29 185.314,31 229.422,33 567.637,36 635.566,39 542.980
247,927,Australia/New Zealand,10 085.342,11 347.299,12 662.301,13 989.958,15 661.294,16 913.839,17 795.733,18 997.879,20 439.603,21 751.679,22 924.836,24 374.258,26 490.126,28 414.088
248,36,Australia,8 177.342,9 210.908,10 289.707,11 363.313,12 842.907,13 831.206,14 649.114,15 729.643,17 041.431,18 076.743,19 065.837,20 238.903,22 120.064,23 799.556
249,554,New Zealand,1 908.000,2 136.391,2 372.594,2 626.645,2 818.387,3 082.633,3 146.619,3 268.236,3 398.172,3 674.936,3 858.999,4 135.355,4 370.062,4 614.532
250,928,Melanesia,2 165.340,2 384.384,2 663.684,3 002.425,3 399.118,3 878.332,4 431.111,5 063.191,5 669.948,6 387.966,7 193.988,8 048.467,8 983.311,9 933.150
251,242,Fiji,288.988,334.976,393.386,463.883,520.529,576.595,635.255,711.661,728.628,775.498,811.223,821.817,859.95,892.149
252,540,New Caledonia,64.825,67.748,78.056,91.2,105.324,130.264,145.144,155.982,169.787,190.732,212.871,232.686,251.037,269.091
253,598,Papua New Guinea,1 674.036,1 824.712,2 010.677,2 236.206,2 527.586,2 878.156,3 304.473,3 794.720,4 313.059,4 894.276,5 572.222,6 314.709,7 108.239,7 919.825
254,90,Solomon Islands,89.794,102.024,117.866,136.847,160.29,193.445,230.607,270.801,311.84,359.225,412.609,469.885,527.79,587.482
255,548,Vanuatu,47.697,54.924,63.699,74.289,85.389,99.872,115.632,130.027,146.634,168.235,185.063,209.37,236.295,264.603
256,954,Micronesia,155.095,170.908,191.284,218.436,247.984,271.704,303.614,355.555,413.304,465.362,497.632,502.742,503.056,518.995
257,316,Guam,59.651,62.641,66.742,74.83,83.877,93.352,104.133,116.572,130.482,145.561,155.329,158.402,159.444,161.797
258,296,Kiribati,33.048,36.596,41.233,46.453,51.178,55.169,59.339,64.003,72.412,77.73,84.406,92.325,102.652,112.407
259,584,Marshall Islands,13.001,13.894,14.662,17.284,20.395,25.576,30.576,38.333,47.298,51.015,52.159,52.055,52.425,52.994
